individu_id,date,activite,duree,unite,poids_kg,calories
1002,2025-02-25,velo,18.2,min,78.7,185.8
1002,2025-02-26,natation,28.74,min,78.7,327.8
1002,2025-02-27,velo,40.21,min,78.7,424.6
1002,2025-02-28,velo,1.09,h,78.7,650.8
1002,2025-03-01,natation,0.65,h,78.7,339.7
1003,2025-01-01,velo,50.94,min,72.3,558.7
1003,2025-01-02,natation,1.43,h,72.3,1026.5
1003,2025-01-03,course,46.97,min,72.3,603.5
1003,2025-01-04,velo,37.65,min,72.3,389.7
1003,2025-01-05,course,15.95,min,72.3,210.8
1003,2025-01-06,velo,57.47,min,72.3,472.0
1003,2025-01-07,course,45.95,min,72.3,461.8
1003,2025-01-08,course,48.38,min,72.3,656.6
1003,2025-01-09,course,38.53,min,72.3,358.1
1003,2025-01-10,velo,40.32,min,72.3,422.7
1003,2025-01-11,course,46.54,min,72.3,568.4
1003,2025-01-12,course,1.02,h,72.3,677.6
1003,2025-01-13,velo,62.36,min,72.3,676.6
1003,2025-01-14,course,46.79,min,72.3,546.8
1003,2025-01-15,velo,46.14,min,72.3,437.9
1003,2025-01-16,natation,27.74,min,72.3,278.2
1003,2025-01-17,natation,63.0,min,72.3,656.0
1003,2025-01-18,natation,19.15,min,72.3,202.5
1003,2025-01-19,course,78.64,min,72.3,974.7
1003,2025-01-20,natation,44.47,min,72.3,388.5
1003,2025-01-21,velo,0.97,h,72.3,563.4
1003,2025-01-22,velo,23.75,min,72.3,235.3
1003,2025-01-23,course,54.48,min,72.3,580.5
1003,2025-01-24,natation,58.06,min,72.3,674.4
1003,2025-01-25,velo,46.82,min,72.3,449.9
1003,2025-01-26,course,45.04,min,72.3,577.4
1003,2025-01-27,cours,66.63,min,72.3,784.6
1003,2025-01-28,velo,39.95,min,72.3,402.4
1003,2025-01-29,course,39.53,min,72.3,383.2
1003,2025-01-30,course,37.49,min,72.3,487.3
1003,2025-01-31,velo,55.16,min,72.3,473.3
1003,2025-02-01,velo,0.84,h,72.3,503.3
1003,2025-02-02,velo,81.68,min,72.3,668.1
1003,2025-02-03,course,42.69,min,72.3,606.2
1003,2025-02-04,course,66.68,min,72.3,820.1
1003,2025-02-05,course,1.07,h,72.3,899.1
1003,2025-02-06,cours,1.13,h,72.3,845.5
1003,2025-02-07,course,0.92,h,72.3,641.4
1003,2025-02-08,velo,43.99,min,72.3,483.3
1003,2025-02-09,course,53.98,min,72.3,703.8
1003,2025-02-10,natation,57.6,min,72.3,669.6
1003,2025-02-11,natation,62.01,min,72.3,604.8
1003,2025-02-12,course,42.24,min,72.3,509.4
1003,2025-02-13,course,41.05,min,72.3,474.0
1003,2025-02-14,velo,43.67,min,72.3,414.4
1003,2025-02-15,course,55.35,min,72.3,718.6
1003,2025-02-16,natation,49.09,min,72.3,468.8
1003,2025-02-17,natation,23.73,min,72.3,211.7
1003,2025-02-18,velo,81.86,min,72.3,916.5
1003,2025-02-19,velo,30.03,min,72.3,282.5
1003,2025-02-20,course,25.19,min,72.3,339.0
1003,2025-02-21,course,50.48,min,72.3,664.1
1003,2025-02-22,velo,1.58,h,72.3,1075.7
1003,2025-02-23,cours,0.85,h,72.3,662.0
1003,2025-02-24,course,1.68,h,72.3,1290.1
1003,2025-02-25,natation,0.59,h,72.3,291.7
1003,2025-02-26,natation,51.16,min,72.3,558.2
1003,2025-02-27,course,53.49,min,72.3,626.6
1003,2025-02-28,velo,49.91,min,72.3,435.9
1003,2025-03-01,course,29.98,min,72.3,434.2
1004,2025-01-01,natation,21.61,min,72.6,240.9
1004,2025-01-02,velo,56.62,min,72.6,537.5
1004,2025-01-03,velo,0.87,h,72.6,492.7
1004,2025-01-04,natation,68.05,min,72.6,792.1
1004,2025-01-05,velò,50.46,min,72.6,470.4
1004,2025-01-06,velo,1.08,h,72.6,533.2
1004,2025-01-07,velo,0.88,h,72.6,396.8
1004,2025-01-08,natation,0.71,h,72.6,435.6
1004,2025-01-09,natation,10.0,min,72.6,91.5
1004,2025-01-10,velo,34.87,min,72.6,345.8
1004,2025-01-11,course,62.86,min,72.6,723.2
1004,2025-01-12,velo,49.39,min,72.6,395.9
1004,2025-01-13,velò,51.18,min,72.6,578.5
1004,2025-01-14,natation,51.42,min,72.6,545.6
1004,2025-01-15,run,58.74,min,72.6,723.5
1004,2025-01-16,natation,1.57,h,72.6,1004.7
1004,2025-01-17,velo,58.74,min,72.6,462.8
1004,2025-01-18,course,1.37,h,72.6,1124.9
1004,2025-01-19,natation,1.11,h,72.6,714.3
1004,2025-01-20,natation,40.24,min,72.6,402.3
1004,2025-01-21,velò,34.92,min,72.6,382.0
1004,2025-01-22,course,0.95,h,72.6,746.9
1004,2025-01-23,course,0.83,h,72.6,659.9
1004,2025-01-24,velo,78.45,min,72.6,630.4
1004,2025-01-25,course,59.57,min,72.6,743.9
1004,2025-01-26,course,31.33,min,72.6,422.3
1004,2025-01-27,course,0.74,h,72.6,462.2
1004,2025-01-28,velo,61.81,min,72.6,549.9
1004,2025-01-29,course,1.7,h,72.6,1460.9
1004,2025-01-30,course,39.07,min,72.6,557.9
1004,2025-01-31,velo,59.44,min,72.6,525.5
1004,2025-02-01,natation,24.6,min,72.6,214.4
1004,2025-02-02,course,42.14,min,72.6,516.2
1004,2025-02-03,course,53.45,min,72.6,673.2
1004,2025-02-04,course,49.93,min,72.6,632.8
1004,2025-02-05,velo,0.67,h,72.6,394.8
1004,2025-02-06,velo,1.4,h,72.6,825.5
1004,2025-02-07,course,46.99,min,72.6,589.1
1004,2025-02-08,course,34.28,min,72.6,482.9
1004,2025-02-09,natation,42.17,min,72.6,410.5
1004,2025-02-10,course,53.33,min,72.6,684.7
1004,2025-02-11,course,19.69,min,72.6,222.4
1004,2025-02-12,course,65.46,min,72.6,795.9
1004,2025-02-13,course,0.78,h,72.6,550.8
1004,2025-02-14,velo,1.24,h,72.6,700.3
1004,2025-02-15,velo,0.81,h,72.6,409.1
1004,2025-02-16,velo,50.12,min,72.6,477.1
1004,2025-02-17,course,50.19,min,72.6,699.3
1004,2025-02-18,course,10.0,min,72.6,136.3
1004,2025-02-19,velo,34.06,min,72.6,336.8
1004,2025-02-20,natation,44.18,min,72.6,499.9
1004,2025-02-21,course,47.93,min,72.6,583.9
1004,2025-02-22,course,0.8,h,72.6,626.9
1004,2025-02-23,run,1.01,h,72.6,815.3
1004,2025-02-24,natation,1.11,h,72.6,751.7
1004,2025-02-25,velo,61.27,min,72.6,480.8
1004,2025-02-26,velo,10.0,min,72.6,101.5
1004,2025-02-27,velo,34.59,min,72.6,312.9
1004,2025-02-28,velo,1.12,h,72.6,526.1
1004,2025-03-01,natation,71.97,min,72.6,818.8
1005,2025-01-01,course,21.03,min,72.0,263.2
1005,2025-01-02,course,34.11,min,72.0,409.5
1005,2025-01-03,velo,1.19,h,72.0,639.7
1005,2025-01-04,cours,24.27,min,72.0,283.8
1005,2025-01-05,velo,1.06,h,72.0,533.9
1005,2025-01-06,velo,38.2,min,72.0,370.4
1005,2025-01-07,natation,43.3,min,72.0,392.4
1005,2025-01-08,course,1.31,h,72.0,837.8
1005,2025-01-09,course,37.06,min,72.0,461.1
1005,2025-01-10,velo,37.25,min,72.0,384.3
1005,2025-01-11,velo,1.44,h,72.0,860.0
1005,2025-01-12,velò,37.62,min,72.0,387.4
1005,2025-01-13,course,54.43,min,72.0,787.3
1005,2025-01-14,course,35.55,min,72.0,392.6
1005,2025-01-15,course,87.14,min,72.0,1027.7
1005,2025-01-16,velo,24.8,min,72.0,239.3
1005,2025-01-17,course,30.25,min,72.0,399.3
1005,2025-01-18,velo,0.5,h,72.0,284.8
1005,2025-01-19,velo,0.83,h,72.0,450.4
1005,2025-01-20,velo,16.19,min,72.0,160.3
1005,2025-01-21,natation,1.08,h,72.0,654.2
1005,2025-01-22,natation,41.09,min,72.0,327.0
1005,2025-01-23,velo,57.91,min,72.0,632.7
1005,2025-01-24,velo,51.22,min,72.0,512.2
1005,2025-01-25,velo,36.19,min,72.0,342.5
1005,2025-01-26,velo,28.23,min,72.0,256.5
1005,2025-01-27,velo,1.14,h,72.0,603.1
1005,2025-01-28,course,28.73,min,72.0,405.0
1005,2025-01-29,course,39.44,min,72.0,498.6
1005,2025-01-30,velo,17.57,min,72.0,178.2
1005,2025-01-31,velò,38.15,min,72.0,364.2
1005,2025-02-01,velo,53.14,min,72.0,553.8
1005,2025-02-02,run,51.8,min,72.0,610.9
1005,2025-02-03,course,1.19,h,72.0,776.7
1005,2025-02-04,natation,52.65,min,72.0,560.1
1005,2025-02-05,velo,40.24,min,72.0,324.6
1005,2025-02-06,natation,27.11,min,72.0,257.4
1005,2025-02-07,course,32.05,min,72.0,447.1
1005,2025-02-08,course,0.76,h,72.0,491.1
1005,2025-02-09,natation,0.77,h,72.0,425.9
1005,2025-02-10,velo,35.19,min,72.0,339.8
1005,2025-02-11,natation,1.05,h,72.0,594.1
1005,2025-02-12,velo,43.67,min,72.0,395.0
1005,2025-02-13,velò,56.55,min,72.0,433.3
1005,2025-02-14,velo,45.47,min,72.0,418.9
1005,2025-02-15,velo,24.6,min,72.0,241.6
1005,2025-02-16,velo,49.56,min,72.0,464.1
1005,2025-02-17,course,48.78,min,,517.8
1005,2025-02-18,velo,26.03,min,72.0,289.8
1005,2025-02-19,course,44.58,min,72.0,514.2
1005,2025-02-20,velo,43.95,min,72.0,360.1
1005,2025-02-21,natation,64.62,min,72.0,619.4
1005,2025-02-22,course,59.95,min,72.0,666.9
1005,2025-02-23,course,24.31,min,72.0,270.4
1005,2025-02-24,natation,0.63,h,72.0,427.0
1005,2025-02-25,course,17.85,min,72.0,207.1
1005,2025-02-26,course,40.36,min,,489.9
1005,2025-02-27,natation,0.58,h,72.0,280.5
1005,2025-02-28,course,45.81,min,72.0,443.8
1005,2025-03-01,course,60.34,min,72.0,803.1
1006,2025-01-01,velo,46.98,min,66.3,442.5
1006,2025-01-02,course,1.46,h,66.3,1024.3
1006,2025-01-03,course,66.01,min,66.3,672.4
1006,2025-01-04,velò,47.98,min,66.3,438.2
1006,2025-01-05,course,53.33,min,66.3,609.4
1006,2025-01-06,velo,37.14,min,66.3,337.0
1006,2025-01-07,natation,33.02,min,66.3,295.9
1006,2025-01-08,natation,40.02,min,66.3,472.1
1006,2025-01-09,course,39.53,min,66.3,455.5
1006,2025-01-10,course,54.01,min,66.3,634.9
1006,2025-01-11,velo,1.39,h,66.3,772.3
1006,2025-01-12,course,35.76,min,66.3,372.2
1006,2025-01-13,course,52.22,min,66.3,624.2
1006,2025-01-14,course,0.7,h,66.3,394.3
1006,2025-01-15,course,55.89,min,66.3,576.7
1006,2025-01-16,course,45.21,min,66.3,503.3
1006,2025-01-17,velo,61.21,min,66.3,517.3
1006,2025-01-18,course,59.69,min,66.3,766.8
1006,2025-01-19,course,35.26,min,66.3,341.6
1006,2025-01-20,velo,48.51,min,66.3,428.8
1006,2025-01-21,velo,0.61,h,66.3,371.5
1006,2025-01-22,natation,0.91,h,66.3,568.5
1006,2025-01-23,course,0.53,h,66.3,829.7
1006,2025-01-24,velo,60.51,min,66.3,464.5
1006,2025-01-25,velo,33.23,min,66.3,293.3
1006,2025-01-26,course,17.3,min,66.3,187.9
1006,2025-01-27,velò,10.0,min,66.3,75.9
1006,2025-01-28,velo,61.57,min,66.3,550.9
1006,2025-01-29,natation,21.29,min,66.3,206.6
1006,2025-01-30,course,1.77,h,66.3,1118.7
1006,2025-01-31,course,0.87,h,66.3,615.5
1006,2025-02-01,velo,1.25,h,66.3,670.1
1006,2025-02-02,velo,51.07,min,66.3,544.0
1006,2025-02-03,course,10.0,min,66.3,119.6
1006,2025-02-04,course,21.71,min,66.3,76.0
1006,2025-02-05,natation,57.66,min,66.3,614.7
1006,2025-02-06,course,42.35,min,66.3,448.5
1006,2025-02-07,velo,47.96,min,66.3,368.1
1006,2025-02-08,course,68.55,min,66.3,702.0
1006,2025-02-09,velo,0.88,h,66.3,420.9
1006,2025-02-10,course,0.89,h,66.3,461.2
1006,2025-02-11,velo,56.86,min,66.3,419.1
1006,2025-02-12,natation,61.85,min,66.3,571.8
1006,2025-02-13,course,27.6,min,66.3,300.1
1006,2025-02-14,velo,49.22,min,66.3,398.6
1006,2025-02-15,velo,39.68,min,66.3,263.5
1006,2025-02-16,velo,61.65,min,66.3,609.6
1006,2025-02-17,velo,40.79,min,66.3,410.2
1006,2025-02-18,course,44.75,min,66.3,601.8
1006,2025-02-19,natation,30.63,min,66.3,256.5
1006,2025-02-20,natation,30.43,min,66.3,303.5
1006,2025-02-21,course,57.29,min,66.3,616.9
1006,2025-02-22,natation,59.94,min,66.3,523.0
1006,2025-02-23,course,0.64,h,66.3,408.3
1006,2025-02-24,velo,38.08,min,66.3,317.2
1006,2025-02-25,natation,48.18,min,66.3,481.5
1006,2025-02-26,velo,43.5,min,66.3,374.4
1006,2025-02-27,course,44.97,min,66.3,553.3
1006,2025-02-28,course,43.17,min,66.3,383.4
1006,2025-03-01,course,52.27,min,66.3,667.0
1007,2025-01-01,velo,1.51,h,,915.1
1007,2025-01-02,velo,53.33,min,75.2,436.4
1007,2025-01-03,course,0.46,h,,423.4
1007,2025-01-04,velo,1.34,h,75.2,839.7
1007,2025-01-05,velo,32.02,min,75.2,264.9
1007,2025-01-06,natation,56.81,min,75.2,595.6
1007,2025-01-07,velo,19.81,min,75.2,193.5
1007,2025-01-08,velo,57.59,min,75.2,650.3
1007,2025-01-09,natation,1.34,h,75.2,767.1
1007,2025-01-10,course,1.19,h,75.2,1058.7
1007,2025-01-11,velo,63.99,min,75.2,718.6
1007,2025-01-12,velo,59.92,min,75.2,596.5
1007,2025-01-13,velo,52.05,min,75.2,550.5
1007,2025-01-14,natation,60.57,min,75.2,603.3
1007,2025-01-15,course,30.11,min,75.2,380.8
1007,2025-01-16,velo,39.12,min,75.2,314.5
1007,2025-01-17,velo,34.73,min,75.2,319.5
1007,2025-01-18,velo,66.99,min,75.2,607.4
1007,2025-01-19,natation,62.1,min,75.2,733.1
1007,2025-01-20,natation,43.68,min,75.2,415.5
1007,2025-01-21,natation,1.09,h,75.2,851.5
1007,2025-01-22,course,0.99,h,75.2,724.2
1007,2025-01-23,velo,34.5,min,75.2,328.8
1007,2025-01-24,course,44.7,min,75.2,538.9
1007,2025-01-25,course,1.11,h,75.2,993.5
1007,2025-01-26,natation,59.93,min,75.2,587.7
1007,2025-01-27,run,25.81,min,75.2,298.6
1007,2025-01-28,natation,47.18,min,75.2,516.5
1007,2025-01-29,course,48.16,min,75.2,610.4
1007,2025-01-30,course,55.6,min,75.2,712.0
1007,2025-01-31,velo,1.31,h,75.2,692.8
1007,2025-02-01,course,39.44,min,75.2,462.8
1007,2025-02-02,course,70.91,min,75.2,872.6
1007,2025-02-03,velo,65.88,min,75.2,595.0
1007,2025-02-04,course,60.69,min,75.2,746.2
1007,2025-02-05,cours,46.71,min,75.2,667.6
1007,2025-02-06,course,0.79,h,75.2,513.7
1007,2025-02-07,course,71.29,min,75.2,995.7
1007,2025-02-08,velo,38.59,min,75.2,481.4
1007,2025-02-09,velo,0.8,h,75.2,498.7
1007,2025-02-10,velo,36.35,min,75.2,342.8
1007,2025-02-11,natation,55.13,min,75.2,613.2
1007,2025-02-12,course,1.26,h,75.2,881.2
1007,2025-02-13,velo,0.59,h,75.2,325.8
1007,2025-02-14,velo,0.56,h,75.2,358.4
1007,2025-02-15,cours,1.0,h,75.2,767.2
1007,2025-02-16,velo,1.29,h,75.2,841.1
1007,2025-02-17,course,1.36,h,75.2,1059.9
1007,2025-02-18,course,29.32,min,75.2,356.8
1007,2025-02-19,velo,1.41,h,75.2,856.0
1007,2025-02-20,course,31.65,min,75.2,348.4
1007,2025-02-21,course,52.65,min,75.2,783.2
1007,2025-02-22,velo,0.43,h,75.2,258.6
1007,2025-02-23,natation,49.58,min,75.2,568.9
1007,2025-02-24,natation,47.12,min,75.2,476.6
1007,2025-02-25,run,0.81,h,75.2,584.4
1007,2025-02-26,velo,57.13,min,75.2,532.5
1007,2025-02-27,velo,1.34,h,75.2,797.1
1007,2025-02-28,velo,11.47,min,75.2,117.3
1007,2025-03-01,course,0.78,h,75.2,620.0
1008,2025-01-01,course,24.74,min,65.9,271.0
1008,2025-01-02,course,10.0,min,65.9,93.1
1008,2025-01-03,velo,1.01,h,65.9,507.5
1008,2025-01-04,velo,62.54,min,65.9,477.8
1008,2025-01-05,course,29.73,min,65.9,353.9
1008,2025-01-06,natation,49.57,min,65.9,423.7
1008,2025-01-07,natation,44.51,min,65.9,453.0
1008,2025-01-08,natation,33.24,min,65.9,302.9
1008,2025-01-09,run,25.18,min,65.9,271.9
1008,2025-01-10,course,69.41,min,65.9,780.0
1008,2025-01-11,velo,57.29,min,65.9,479.1
1008,2025-01-12,velo,38.06,min,65.9,264.3
1008,2025-01-13,course,38.68,min,65.9,442.5
1008,2025-01-14,velo,14.33,min,65.9,108.8
1008,2025-01-15,course,36.83,min,65.9,447.0
1008,2025-01-16,velo,26.56,min,65.9,238.0
1008,2025-01-17,course,43.92,min,65.9,559.0
1008,2025-01-18,velo,52.28,min,65.9,475.9
1008,2025-01-19,course,43.86,min,65.9,473.5
1008,2025-01-20,velò,1.35,h,65.9,716.6
1008,2025-01-21,velo,51.53,min,65.9,538.4
1008,2025-01-22,velo,64.01,min,65.9,151.9
1008,2025-01-23,course,48.44,min,65.9,519.0
1008,2025-01-24,natation,1.29,h,65.9,803.2
1008,2025-01-25,velò,64.93,min,65.9,524.8
1008,2025-01-26,velo,43.94,min,65.9,381.8
1008,2025-01-27,velo,1.36,h,65.9,822.8
1008,2025-01-28,course,0.75,h,65.9,446.8
1008,2025-01-29,run,1.17,h,65.9,788.1
1008,2025-01-30,velo,45.78,min,65.9,371.3
1008,2025-01-31,course,74.58,min,65.9,827.1
1008,2025-02-01,course,50.58,min,65.9,619.6
1008,2025-02-02,course,51.28,min,65.9,571.9
1008,2025-02-03,course,0.79,h,65.9,533.4
1008,2025-02-04,course,31.86,min,65.9,337.8
1008,2025-02-05,velo,45.59,min,65.9,425.0
1008,2025-02-06,course,0.7,h,65.9,405.9
1008,2025-02-07,course,0.89,h,65.9,523.1
1008,2025-02-08,velo,1.32,h,65.9,594.9
1008,2025-02-09,velo,40.41,min,65.9,388.2
1008,2025-02-10,course,0.84,h,65.9,569.0
1008,2025-02-11,course,25.25,min,65.9,319.9
1008,2025-02-12,natation,17.34,min,65.9,164.1
1008,2025-02-13,course,54.23,min,65.9,524.0
1008,2025-02-14,course,53.19,min,65.9,667.2
1008,2025-02-15,velo,1.08,h,65.9,573.9
1008,2025-02-16,natation,47.79,min,65.9,491.7
1008,2025-02-17,natation,0.81,h,65.9,519.5
1008,2025-02-18,natation,69.18,min,65.9,607.1
1008,2025-02-19,velo,61.22,min,65.9,512.4
1008,2025-02-20,velò,13.35,min,65.9,106.6
1008,2025-02-21,velo,33.89,min,65.9,322.8
1008,2025-02-22,course,49.16,min,65.9,528.2
1008,2025-02-23,natation,38.38,min,65.9,359.5
1008,2025-02-24,natation,52.74,min,65.9,510.3
1008,2025-02-25,velo,42.39,min,65.9,371.8
1008,2025-02-26,course,56.61,min,65.9,537.1
1008,2025-02-27,course,53.78,min,65.9,611.8
1008,2025-02-28,course,0.88,h,65.9,600.7
1008,2025-03-01,course,39.78,min,65.9,484.0
1009,2025-01-01,velo,1.16,h,58.8,488.5
1009,2025-01-02,natation,10.0,min,58.8,77.2
1009,2025-01-03,velò,31.08,min,58.8,251.4
1009,2025-01-04,course,41.17,min,58.8,351.3
1009,2025-01-05,velò,40.81,min,58.8,284.5
1009,2025-01-06,velo,43.9,min,58.8,353.1
1009,2025-01-07,velo,19.1,min,58.8,135.6
1009,2025-01-08,velo,17.13,min,58.8,125.6
1009,2025-01-09,velo,26.29,min,58.8,217.2
1009,2025-01-10,velo,21.81,min,58.8,167.6
1009,2025-01-11,course,45.98,min,58.8,468.9
1009,2025-01-12,velò,30.32,min,58.8,299.8
1009,2025-01-13,course,20.92,min,58.8,240.6
1009,2025-01-14,velo,46.5,min,58.8,348.6
1009,2025-01-15,course,61.59,min,58.8,600.5
1009,2025-01-16,velò,55.56,min,58.8,511.9
1009,2025-01-17,velo,41.58,min,58.8,345.6
1009,2025-01-18,course,75.96,min,58.8,870.1
1009,2025-01-19,velo,61.43,min,58.8,500.1
1009,2025-01-20,velo,45.28,min,58.8,331.9
1009,2025-01-21,natation,55.99,min,58.8,473.1
1009,2025-01-22,course,48.62,min,58.8,560.8
1009,2025-01-23,course,41.35,min,58.8,472.0
1009,2025-01-24,course,51.72,min,58.8,549.8
1009,2025-01-25,cours,43.07,min,58.8,449.8
1009,2025-01-26,course,0.78,h,58.8,474.8
1009,2025-01-27,course,25.15,min,58.8,214.5
1009,2025-01-28,velo,1.14,h,58.8,457.8
1009,2025-01-29,velo,50.28,min,58.8,382.0
1009,2025-01-30,course,33.59,min,58.8,357.9
1009,2025-01-31,natation,41.21,min,58.8,332.0
1009,2025-02-01,run,26.16,min,58.8,259.2
1009,2025-02-02,course,57.76,min,58.8,624.6
1009,2025-02-03,velo,0.43,h,58.8,206.1
1009,2025-02-04,course,1.02,h,58.8,615.3
1009,2025-02-05,velo,36.79,min,58.8,282.5
1009,2025-02-06,course,0.83,h,58.8,412.3
1009,2025-02-07,course,46.05,min,58.8,501.7
1009,2025-02-08,velo,33.52,min,58.8,243.6
1009,2025-02-09,natation,62.87,min,58.8,481.2
1009,2025-02-10,velo,60.78,min,58.8,466.0
1009,2025-02-11,natation,55.9,min,58.8,514.9
1009,2025-02-12,velo,65.05,min,58.8,513.8
1009,2025-02-13,velo,40.89,min,58.8,268.9
